"time_est","time","est_hour","weekday_est","movement","count1"
"1486239319528","2017/02/04 20:15:19","20","6","1","1"
"1486242047261","2017/02/04 21:00:47","21","6","1","1"
"1486242320158","2017/02/04 21:05:20","21","6","1","1"
"1486242375193","2017/02/04 21:06:15","21","6","1","1"
"1486242400152","2017/02/04 21:06:40","21","6","1","1"
"1486270786108","2017/02/05 04:59:46","4","7","1","1"
"1486270786114","2017/02/05 04:59:46","4","7","1","1"
"1486285230095","2017/02/05 09:00:30","9","7","1","1"
"1486351593099","2017/02/06 03:26:33","3","1","1","1"
"1486351593102","2017/02/06 03:26:33","3","1","1","1"
"1486362405108","2017/02/06 06:26:45","6","1","1","1"
"1486362405114","2017/02/06 06:26:45","6","1","1","1"
"1486382556967","2017/02/06 12:02:36","12","1","1","1"
"1486382561632","2017/02/06 12:02:41","12","1","1","1"
"1486397348494","2017/02/06 16:09:08","16","1","1","1"
"1486397348554","2017/02/06 16:09:08","16","1","1","1"
"1486398583614","2017/02/06 16:29:43","16","1","1","2"
"1486455033089","2017/02/07 08:10:33","8","2","1","2"
"1486482083547","2017/02/07 15:41:23","15","2","1","2"
"1486482083581","2017/02/07 15:41:23","15","2","1","2"
"1486482549008","2017/02/07 15:49:09","15","2","1","2"
"1486482549161","2017/02/07 15:49:09","15","2","1","2"
"1486509181129","2017/02/07 23:13:01","23","2","1","1"
"1486509181133","2017/02/07 23:13:01","23","2","1","1"
"1486509182085","2017/02/07 23:13:02","23","2","1","1"
"1486512785994","2017/02/08 00:13:05","0","3","1","1"
"1486512786000","2017/02/08 00:13:06","0","3","1","1"
"1486516390015","2017/02/08 01:13:10","1","3","1","1"
"1486516390021","2017/02/08 01:13:10","1","3","1","1"
"1486523600111","2017/02/08 03:13:20","3","3","1","1"
"1486523600116","2017/02/08 03:13:20","3","3","1","1"
"1486527206110","2017/02/08 04:13:26","4","3","1","1"
"1486527206115","2017/02/08 04:13:26","4","3","1","1"
"1486534415103","2017/02/08 06:13:35","6","3","1","1"
"1486534415112","2017/02/08 06:13:35","6","3","1","1"
"1486542206095","2017/02/08 08:23:26","8","3","1","1"
"1486571628350","2017/02/08 16:33:48","16","3","1","2"
"1486579019877","2017/02/08 18:36:59","18","3","1","2"
"1486596338110","2017/02/08 23:25:38","23","3","1","1"
"1486596338115","2017/02/08 23:25:38","23","3","1","1"
"1486617959112","2017/02/09 05:25:59","5","4","1","1"
"1486617959120","2017/02/09 05:25:59","5","4","1","1"
"1486650652555","2017/02/09 14:30:52","14","4","1","2"
"1486650953658","2017/02/09 14:35:53","14","4","1","1"
"1486672473309","2017/02/09 20:34:33","20","4","1","2"
"1486672547709","2017/02/09 20:35:47","20","4","1","2"
"1486672547716","2017/02/09 20:35:47","20","4","1","2"
"1486672550164","2017/02/09 20:35:50","20","4","1","2"
"1486672550168","2017/02/09 20:35:50","20","4","1","2"
"1486684327107","2017/02/09 23:52:07","23","4","1","1"
"1486684327125","2017/02/09 23:52:07","23","4","1","1"
"1486687931121","2017/02/10 00:52:11","0","5","1","1"
"1486687931126","2017/02/10 00:52:11","0","5","1","1"
"1486691536119","2017/02/10 01:52:16","1","5","1","1"
"1486691536126","2017/02/10 01:52:16","1","5","1","1"
"1486702348114","2017/02/10 04:52:28","4","5","1","1"
"1486702348120","2017/02/10 04:52:28","4","5","1","1"
"1486705954131","2017/02/10 05:52:34","5","5","1","1"
"1486705954138","2017/02/10 05:52:34","5","5","1","1"
"1486717360327","2017/02/10 09:02:40","9","5","1","1"
"1486725428558","2017/02/10 11:17:08","11","5","1","1"
"1486725428836","2017/02/10 11:17:08","11","5","1","1"
"1486726339942","2017/02/10 11:32:19","11","5","1","1"
"1486726339947","2017/02/10 11:32:19","11","5","1","1"
"1486726345699","2017/02/10 11:32:25","11","5","1","1"
"1486726347567","2017/02/10 11:32:27","11","5","1","1"
"1486726412076","2017/02/10 11:33:32","11","5","1","1"
"1486726412110","2017/02/10 11:33:32","11","5","1","1"
"1486726413829","2017/02/10 11:33:33","11","5","1","1"
"1486726413833","2017/02/10 11:33:33","11","5","1","1"
"1486728487384","2017/02/10 12:08:07","12","5","1","1"
"1486728488420","2017/02/10 12:08:08","12","5","1","1"
"1486728488642","2017/02/10 12:08:08","12","5","1","1"
"1486728488651","2017/02/10 12:08:08","12","5","1","1"
"1486749523719","2017/02/10 17:58:43","17","5","1","1"
"1486749527097","2017/02/10 17:58:47","17","5","1","1"
"1486750182070","2017/02/10 18:09:42","18","5","1","1"
"1486750184160","2017/02/10 18:09:44","18","5","1","1"
"1486763572189","2017/02/10 21:52:52","21","5","1","1"
"1486763572256","2017/02/10 21:52:52","21","5","1","1"
"1486770798017","2017/02/10 23:53:18","23","5","1","1"
"1486770798025","2017/02/10 23:53:18","23","5","1","1"
"1486778006112","2017/02/11 01:53:26","1","6","1","1"
"1486778006117","2017/02/11 01:53:26","1","6","1","1"
"1486785214161","2017/02/11 03:53:34","3","6","1","1"
"1486785214179","2017/02/11 03:53:34","3","6","1","1"
"1486792428122","2017/02/11 05:53:48","5","6","1","1"
"1486792428126","2017/02/11 05:53:48","5","6","1","1"
"1486796033113","2017/02/11 06:53:53","6","6","1","1"
"1486796033119","2017/02/11 06:53:53","6","6","1","1"
"1486807805121","2017/02/11 10:10:05","10","6","1","1"
