"time_est","time","est_hour","weekday_est","movement","count1"
"1485794624540","2017/01/30 16:43:44","16","1","0","1"
"1485794683771","2017/01/30 16:44:43","16","1","0","1"
"1485794683778","2017/01/30 16:44:43","16","1","0","1"
"1485794703380","2017/01/30 16:45:03","16","1","0","1"
"1485794755532","2017/01/30 16:45:55","16","1","0","1"
"1485794820706","2017/01/30 16:47:00","16","1","0","1"
"1485794820712","2017/01/30 16:47:00","16","1","0","1"
"1485794853691","2017/01/30 16:47:33","16","1","0","1"
"1485794868304","2017/01/30 16:47:48","16","1","0","1"
"1485794868307","2017/01/30 16:47:48","16","1","0","1"
"1485794928208","2017/01/30 16:48:48","16","1","0","1"
"1485794981519","2017/01/30 16:49:41","16","1","0","1"
"1485794988002","2017/01/30 16:49:48","16","1","0","1"
"1485795090173","2017/01/30 16:51:30","16","1","0","1"
"1485795123101","2017/01/30 16:52:03","16","1","0","1"
"1485795163974","2017/01/30 16:52:43","16","1","0","1"
"1485795170483","2017/01/30 16:52:50","16","1","0","1"
"1485795196814","2017/01/30 16:53:16","16","1","0","1"
"1485795249427","2017/01/30 16:54:09","16","1","0","1"
"1485795249432","2017/01/30 16:54:09","16","1","0","1"
"1485795282226","2017/01/30 16:54:42","16","1","0","1"
"1485795314868","2017/01/30 16:55:14","16","1","0","1"
"1485795321367","2017/01/30 16:55:21","16","1","0","1"
"1485795334345","2017/01/30 16:55:34","16","1","0","1"
"1485795347469","2017/01/30 16:55:47","16","1","0","1"
"1485795403550","2017/01/30 16:56:43","16","1","0","1"
"1485795410076","2017/01/30 16:56:50","16","1","0","1"
"1485795443543","2017/01/30 16:57:23","16","1","0","1"
"1485795450031","2017/01/30 16:57:30","16","1","0","1"
"1485795456524","2017/01/30 16:57:36","16","1","0","1"
"1485795484179","2017/01/30 16:58:04","16","1","0","1"
"1485795497229","2017/01/30 16:58:17","16","1","0","1"
"1485795529864","2017/01/30 16:58:49","16","1","0","1"
"1485795922656","2017/01/30 17:05:22","17","1","0","1"
"1485795922663","2017/01/30 17:05:22","17","1","0","1"
"1485795965103","2017/01/30 17:06:05","17","1","0","1"
"1485795965189","2017/01/30 17:06:05","17","1","0","1"
"1485795991177","2017/01/30 17:06:31","17","1","0","1"
"1485795991331","2017/01/30 17:06:31","17","1","0","1"
"1485796387265","2017/01/30 17:13:07","17","1","0","1"
"1485796387274","2017/01/30 17:13:07","17","1","0","1"
"1485796393126","2017/01/30 17:13:13","17","1","0","1"
"1485796393129","2017/01/30 17:13:13","17","1","0","1"
"1485796687346","2017/01/30 17:18:07","17","1","0","1"
"1485796687362","2017/01/30 17:18:07","17","1","0","1"
"1485796693637","2017/01/30 17:18:13","17","1","0","1"
"1485796693644","2017/01/30 17:18:13","17","1","0","1"
"1485796987429","2017/01/30 17:23:07","17","1","0","1"
"1485796987449","2017/01/30 17:23:07","17","1","0","1"
"1485796994088","2017/01/30 17:23:14","17","1","0","1"
"1485796994095","2017/01/30 17:23:14","17","1","0","1"
"1485797287475","2017/01/30 17:28:07","17","1","0","1"
"1485797287481","2017/01/30 17:28:07","17","1","0","1"
"1485797294684","2017/01/30 17:28:14","17","1","0","1"
"1485797294689","2017/01/30 17:28:14","17","1","0","1"
"1485797587538","2017/01/30 17:33:07","17","1","0","1"
"1485797587544","2017/01/30 17:33:07","17","1","0","1"
"1485797595195","2017/01/30 17:33:15","17","1","0","1"
"1485797595199","2017/01/30 17:33:15","17","1","0","1"
"1485797887657","2017/01/30 17:38:07","17","1","0","1"
"1485797887661","2017/01/30 17:38:07","17","1","0","1"
"1485797895696","2017/01/30 17:38:15","17","1","0","1"
"1485797895702","2017/01/30 17:38:15","17","1","0","1"
"1485798187640","2017/01/30 17:43:07","17","1","0","1"
"1485798187651","2017/01/30 17:43:07","17","1","0","1"
"1485798196117","2017/01/30 17:43:16","17","1","0","1"
"1485798196128","2017/01/30 17:43:16","17","1","0","1"
"1485798487714","2017/01/30 17:48:07","17","1","0","1"
"1485798487726","2017/01/30 17:48:07","17","1","0","1"
"1485798496645","2017/01/30 17:48:16","17","1","0","1"
"1485798496649","2017/01/30 17:48:16","17","1","0","1"
"1485798841276","2017/01/30 17:54:01","17","1","0","1"
"1485798841282","2017/01/30 17:54:01","17","1","0","1"
"1485798845519","2017/01/30 17:54:05","17","1","0","1"
"1485798845525","2017/01/30 17:54:05","17","1","0","1"
"1485799141334","2017/01/30 17:59:01","17","1","0","1"
"1485799141341","2017/01/30 17:59:01","17","1","0","1"
"1485799146042","2017/01/30 17:59:06","17","1","0","1"
"1485799146047","2017/01/30 17:59:06","17","1","0","1"
"1485799441425","2017/01/30 18:04:01","18","1","0","1"
"1485799441429","2017/01/30 18:04:01","18","1","0","1"
"1485799446538","2017/01/30 18:04:06","18","1","0","1"
"1485799446543","2017/01/30 18:04:06","18","1","0","1"
"1485799741481","2017/01/30 18:09:01","18","1","0","1"
"1485799741487","2017/01/30 18:09:01","18","1","0","1"
"1485799747028","2017/01/30 18:09:07","18","1","0","1"
"1485799747035","2017/01/30 18:09:07","18","1","0","1"
"1485800041550","2017/01/30 18:14:01","18","1","0","1"
"1485800041557","2017/01/30 18:14:01","18","1","0","1"
"1485800047516","2017/01/30 18:14:07","18","1","0","1"
"1485800047522","2017/01/30 18:14:07","18","1","0","1"
"1485800341618","2017/01/30 18:19:01","18","1","0","1"
"1485800341624","2017/01/30 18:19:01","18","1","0","1"
"1485800347971","2017/01/30 18:19:07","18","1","0","1"
"1485800347977","2017/01/30 18:19:07","18","1","0","1"
"1485800641696","2017/01/30 18:24:01","18","1","0","1"
"1485800641703","2017/01/30 18:24:01","18","1","0","1"
"1485800648461","2017/01/30 18:24:08","18","1","0","1"
"1485800648467","2017/01/30 18:24:08","18","1","0","1"
"1485800941749","2017/01/30 18:29:01","18","1","0","1"
"1485800941756","2017/01/30 18:29:01","18","1","0","1"
"1485800948953","2017/01/30 18:29:08","18","1","0","1"
"1485800948957","2017/01/30 18:29:08","18","1","0","1"
"1485801241768","2017/01/30 18:34:01","18","1","0","1"
"1485801241775","2017/01/30 18:34:01","18","1","0","1"
"1485801249378","2017/01/30 18:34:09","18","1","0","1"
"1485801249384","2017/01/30 18:34:09","18","1","0","1"
"1485801541835","2017/01/30 18:39:01","18","1","0","1"
"1485801541841","2017/01/30 18:39:01","18","1","0","1"
"1485801549857","2017/01/30 18:39:09","18","1","0","1"
"1485801549864","2017/01/30 18:39:09","18","1","0","1"
"1485801841930","2017/01/30 18:44:01","18","1","0","1"
"1485801841936","2017/01/30 18:44:01","18","1","0","1"
"1485801850392","2017/01/30 18:44:10","18","1","0","1"
"1485801850398","2017/01/30 18:44:10","18","1","0","1"
"1485802141932","2017/01/30 18:49:01","18","1","0","1"
"1485802141938","2017/01/30 18:49:01","18","1","0","1"
"1485802144581","2017/01/30 18:49:04","18","1","0","1"
"1485802144584","2017/01/30 18:49:04","18","1","0","1"
"1485803352427","2017/01/30 19:09:12","19","1","0","1"
"1485803352434","2017/01/30 19:09:12","19","1","0","1"
"1485803352540","2017/01/30 19:09:12","19","1","0","1"
"1485803352544","2017/01/30 19:09:12","19","1","0","1"
"1485803652540","2017/01/30 19:14:12","19","1","0","1"
"1485803652544","2017/01/30 19:14:12","19","1","0","1"
"1485803653027","2017/01/30 19:14:13","19","1","0","1"
"1485803653031","2017/01/30 19:14:13","19","1","0","1"
